bracket_text	count	class	example_song_ids
Verse 10	13	section_marker	hf_02340,hf_05268,hf_06808,hf_10341,hf_11316
Verse Three	13	section_marker	hf_02424,hf_04079,hf_04645,hf_06186,hf_06636
Chorus/Outro	13	section_marker	hf_02723,hf_02786,hf_03669,hf_03986,hf_07828
...	13	speaker_or_tag	hf_06146,hf_11385,hf_14702,hf_14702,hf_14702
Sung	12	speaker_or_tag	hf_00103,hf_00103,hf_00103,hf_00103,hf_00103
ALADDIN	12	speaker_or_tag	hf_02536,hf_02536,hf_27716,hf_27716,hf_27716
Verse 2: Colt Ford	12	section_marker	hf_05591,hf_07051,hf_09543,hf_10812,hf_13427
Journalist	12	speaker_or_tag	hf_08552,hf_08552,hf_08552,hf_08552,hf_08552
RANDY, spoken	12	section_marker	hf_10950,hf_10950,hf_10950,hf_10950,hf_10950
instrumental	12	section_marker	hf_11210,hf_11210,hf_12618,hf_17521,hf_17521
Ebro	12	speaker_or_tag	hf_13766,hf_13766,hf_13766,hf_13766,hf_13766
Trinidad James	12	speaker_or_tag	hf_20051,hf_20051,hf_20051,hf_20051,hf_20051
Hook x4	11	section_marker	hf_00148,hf_00148,hf_05562,hf_15871,hf_15871
Verse II	11	section_marker	hf_00497,hf_00996,hf_03144,hf_06375,hf_06407
Post-Chorus 2	11	section_marker	hf_01526,hf_02304,hf_03222,hf_03338,hf_07332
Build	11	speaker_or_tag	hf_02348,hf_02348,hf_04533,hf_05362,hf_05362
Repeat Chorus	11	section_marker	hf_02948,hf_02948,hf_03546,hf_03546,hf_08804
They	11	speaker_or_tag	hf_03826,hf_03826,hf_03826,hf_23831,hf_23831
Part 2	11	speaker_or_tag	hf_03828,hf_04316,hf_06228,hf_07151,hf_10078
Ending	11	speaker_or_tag	hf_04279,hf_04361,hf_05220,hf_06805,hf_07723
VERSE 4	11	section_marker	hf_04402,hf_09387,hf_11629,hf_13120,hf_14683
Instrumental outro	11	section_marker	hf_08501,hf_09388,hf_13193,hf_13272,hf_17424
BURR	11	speaker_or_tag	hf_24188,hf_24188,hf_24188,hf_24188,hf_24188
Ethan & Trinity	11	speaker_or_tag	hf_27594,hf_27594,hf_27594,hf_27594,hf_27594
CLOVER	11	speaker_or_tag	hf_27910,hf_27910,hf_27910,hf_27910,hf_27910
MARY POPPINS	11	speaker_or_tag	hf_28513,hf_28513,hf_28513,hf_28513,hf_28513
Post-Chorus 1	10	section_marker	hf_01526,hf_02304,hf_03222,hf_03338,hf_07332
Chorus: Young Thug	10	section_marker	hf_01788,hf_01788,hf_01788,hf_04766,hf_04766
Artilleryman	10	speaker_or_tag	hf_08552,hf_08552,hf_08552,hf_08552,hf_08552
Verse1	10	section_marker	hf_10935,hf_11148,hf_15762,hf_18595,hf_19331
CHRIS	10	speaker_or_tag	hf_17060,hf_17060,hf_17060,hf_17060,hf_17060
Ad Rock	10	speaker_or_tag	hf_17791,hf_17791,hf_17791,hf_17791,hf_17791
Mystikal	10	speaker_or_tag	hf_20051,hf_20051,hf_20051,hf_20051,hf_20051
Tabs	10	speaker_or_tag	hf_25453,hf_25453,hf_25453,hf_25453,hf_25453
Old hustler:	10	other	hf_27951,hf_27951,hf_27951,hf_27951,hf_27951
Young hustler:	10	other	hf_27951,hf_27951,hf_27951,hf_27951,hf_27951
FATHER	10	speaker_or_tag	hf_28571,hf_28571,hf_28571,hf_28571,hf_28571
Verse: 2	9	section_marker	hf_00132,hf_02925,hf_03117,hf_12339,hf_12471
x8	9	repeat_marker	hf_00407,hf_01028,hf_04545,hf_05772,hf_05938
Ethan	9	speaker_or_tag	hf_00853,hf_27594,hf_27594,hf_27594,hf_27594
repeat	9	speaker_or_tag	hf_01979,hf_01979,hf_01979,hf_02586,hf_16991
QUASIMODO	9	speaker_or_tag	hf_04153,hf_04153,hf_04153,hf_04153,hf_04153
Chorus: Lil Keed	9	section_marker	hf_11665,hf_11665,hf_11665,hf_16369,hf_16369
Chorus: Graham Nash	9	section_marker	hf_12010,hf_12010,hf_12010,hf_12010,hf_13438
spoken	9	section_marker	hf_12755,hf_17202,hf_17202,hf_17202,hf_17202
Hook: Chief Keef	9	section_marker	hf_14190,hf_14190,hf_14190,hf_14190,hf_20874
Hook X2	9	section_marker	hf_16996,hf_16996,hf_22957,hf_22957,hf_22957
Lil Dicky	9	speaker_or_tag	hf_20051,hf_20051,hf_20051,hf_20051,hf_20051
Coal	9	speaker_or_tag	hf_25453,hf_25453,hf_25453,hf_25453,hf_25453
Fabolous	9	speaker_or_tag	hf_26597,hf_26597,hf_27440,hf_27440,hf_27440
Refrain 1	8	section_marker	hf_00184,hf_03602,hf_12363,hf_13037,hf_23867
Final Chorus	8	section_marker	hf_00390,hf_12611,hf_14503,hf_17854,hf_20895
Bridge/Outro	8	section_marker	hf_00684,hf_00699,hf_06910,hf_14807,hf_17233
All	8	speaker_or_tag	hf_01472,hf_02558,hf_02558,hf_02558,hf_27181
CADY	8	speaker_or_tag	hf_01636,hf_01636,hf_01636,hf_01636,hf_01636
Part II	8	speaker_or_tag	hf_01874,hf_09788,hf_13463,hf_21444,hf_21838
local	8	speaker_or_tag	hf_03093,hf_03093,hf_03093,hf_03093,hf_03093
Skit	8	section_marker	hf_03294,hf_06710,hf_12928,hf_15565,hf_27802
FROLLO	8	speaker_or_tag	hf_04153,hf_04153,hf_04153,hf_04153,hf_04153
Pre-Chrous	8	speaker_or_tag	hf_05669,hf_05669,hf_06213,hf_07422,hf_13255
yeah	8	speaker_or_tag	hf_07728,hf_09627,hf_09627,hf_09627,hf_09627
Keifer	8	speaker_or_tag	hf_08070,hf_08070,hf_08070,hf_08070,hf_08070
Repeat: x3	8	other	hf_13435,hf_13435,hf_13435,hf_13435,hf_13435
POST-Chorus	8	section_marker	hf_15458,hf_18538,hf_18538,hf_18538,hf_26870
Girl 1	8	speaker_or_tag	hf_15544,hf_15544,hf_15544,hf_15544,hf_15544
Robert	8	speaker_or_tag	hf_15544,hf_15544,hf_15544,hf_15544,hf_15544
CHOIR	8	speaker_or_tag	hf_16034,hf_16034,hf_16034,hf_16034,hf_16034
Sdot Pdot	8	speaker_or_tag	hf_16780,hf_16780,hf_16780,hf_16780,hf_16780
Holly G.	8	speaker_or_tag	hf_16780,hf_16780,hf_16780,hf_16780,hf_16780
for love	8	speaker_or_tag	hf_16938,hf_16938,hf_16938,hf_16938,hf_16938
Milk	8	speaker_or_tag	hf_17791,hf_17791,hf_17791,hf_17791,hf_17791
boof	8	speaker_or_tag	hf_18239,hf_18239,hf_18239,hf_18239,hf_18239
tuson	8	speaker_or_tag	hf_18239,hf_18239,hf_18239,hf_18239,hf_18239
Brieanna	8	speaker_or_tag	hf_20041,hf_20041,hf_20041,hf_20041,hf_20041
James	8	speaker_or_tag	hf_20374,hf_20374,hf_20374,hf_20374,hf_20374
Hook: Justin Abisror & Janice Buckner	8	section_marker	hf_22980,hf_22980,hf_22980,hf_22980,hf_22980
Shnobi	8	speaker_or_tag	hf_23080,hf_23080,hf_23080,hf_23080,hf_23080
MATT	8	speaker_or_tag	hf_25215,hf_25215,hf_25215,hf_25215,hf_25215
Hook Danny	8	section_marker	hf_26277,hf_26277,hf_26277,hf_26277,hf_26277
CARLOS	8	speaker_or_tag	hf_27837,hf_27837,hf_27837,hf_27837,hf_27837
pre-Chorus	7	section_marker	hf_00516,hf_00516,hf_17753,hf_22006,hf_22006
Verso 2	7	speaker_or_tag	hf_01141,hf_03878,hf_05520,hf_07616,hf_09466
Kenny	7	speaker_or_tag	hf_01342,hf_01342,hf_01342,hf_01342,hf_01342
Interlude 2	7	section_marker	hf_01406,hf_02304,hf_12928,hf_14049,hf_16808
STUDENTS	7	speaker_or_tag	hf_01636,hf_01636,hf_01636,hf_01636,hf_01636
Chorus: Young Adz	7	section_marker	hf_02184,hf_02184,hf_08883,hf_08883,hf_08883
Verse 11	7	section_marker	hf_02340,hf_06808,hf_10341,hf_13266,hf_13812
Verse 12	7	section_marker	hf_02340,hf_06808,hf_10341,hf_13266,hf_13812
Beat Switch	7	speaker_or_tag	hf_02390,hf_12506,hf_19691,hf_22833,hf_25647
Refrain: All	7	section_marker	hf_02710,hf_02710,hf_06451,hf_06451,hf_06451
Verse: 1	7	section_marker	hf_02925,hf_03117,hf_12339,hf_12459,hf_24387
Middle 8	7	speaker_or_tag	hf_03016,hf_06251,hf_10938,hf_15332,hf_21133
End	7	speaker_or_tag	hf_03382,hf_05104,hf_07168,hf_07690,hf_07762
Instrumental Chorus	7	section_marker	hf_04534,hf_11120,hf_15479,hf_15479,hf_21863
Verse 2: Juicy J	7	section_marker	hf_04581,hf_13976,hf_15211,hf_15581,hf_21258
Post-Chorus: John Cooper	7	section_marker	hf_05039,hf_05039,hf_05039,hf_18571,hf_18571
Chorus: conor lynch	7	section_marker	hf_07049,hf_07049,hf_13426,hf_13426,hf_13426
3x	7	repeat_marker	hf_08363,hf_11730,hf_11730,hf_12524,hf_12524
Pre-Hook:	7	section_marker	hf_09986,hf_09986,hf_13460,hf_13460,hf_15111
Post-Drop	7	section_marker	hf_10156,hf_10156,hf_17846,hf_19371,hf_19371
Post-Chorus:	7	section_marker	hf_10442,hf_14488,hf_18224,hf_18224,hf_18224
Sample	7	speaker_or_tag	hf_12843,hf_16976,hf_16976,hf_22639,hf_22642
Figaro	7	speaker_or_tag	hf_14332,hf_14332,hf_14332,hf_14332,hf_14332
Hey!	7	other	hf_17512,hf_17512,hf_17512,hf_17512,hf_17512
Spoken Interlude	7	section_marker	hf_19317,hf_19317,hf_19317,hf_19317,hf_19317
M	7	other	hf_20742,hf_20742,hf_20742,hf_20742,hf_20742
ELIZA	7	speaker_or_tag	hf_21773,hf_21773,hf_21773,hf_21773,hf_21773
Chorus: Takeoff	7	section_marker	hf_22230,hf_22230,hf_22230,hf_22230,hf_26228
CHARLES, spoken	7	section_marker	hf_22267,hf_22267,hf_22267,hf_22267,hf_22267
JJ712	7	speaker_or_tag	hf_22622,hf_22622,hf_22622,hf_22622,hf_22622
Sexy Lady	7	speaker_or_tag	hf_23635,hf_23635,hf_23635,hf_23635,hf_23635
Devin Millar	7	speaker_or_tag	hf_24914,hf_24914,hf_24914,hf_24914,hf_24914
